# Windows 推理节点依赖（CUDA 版，整链路：YOLO + OCR + VLM）
# 安装（Windows，建议用 Python 3.10/3.11）：
#   pip install -r requirements-windows.txt
#
# 注意：torch 需装 CUDA 版，按显卡驱动选择 index-url，例如 CUDA 12.1：
#   pip install torch torchvision --index-url https://download.pytorch.org/whl/cu121
#
# 版本已收敛（上下界锁定），避免装到存在已知 bug 的版本。
# 已知坑：transformers 5.17.0 的 MiniCPM-V 4.6 在部分尺寸下 source/slice patch
# 数不一致导致 vit_merger reshape 崩溃，故上限锁 <5.17.0（见 vlm_fallback_windows.py 注释）。

# ---- 主线（YOLO 检测 + OCR 识值 + 后处理）----
numpy>=1.24,<3
Pillow>=10,<12
rapidocr_onnxruntime>=1.3,<2
ultralytics>=8.3,<9
openpyxl>=3.1,<4

# ---- VLM 兜底（Windows CUDA 版，替换 mlx-vlm）----
# torch 需装 CUDA 版，按显卡驱动选择 index-url，例如 CUDA 12.1：
#   pip install torch torchvision --index-url https://download.pytorch.org/whl/cu121
torch>=2.1,<2.11
torchvision>=0.16,<0.21
transformers>=5.7.0,<5.17.0
accelerate>=0.30,<2
peft>=0.10,<1
av>=11,<16
